,edad,estado,formacion,ocupacion,universidad,periodo_clase,tipo_trabajo,moneda,salario,gastos,rango_vivienda,rango_alimentacion,rango_transporte,act_extracurricular,rango_extracurricular,bool_ahorro,rango_ahorro,educacion_financiera,bool_educacion_financiera,nivel_vida,nivel_satisfaccion
0,18 a 20 años.,Mérida,Bachiller,Estudiante y empleado.,Pública.,Semestre.,"Sector público (gobierno, instituciones públicas).",Bolívares,$240 a $280,"Alimentación, Transporte",$0,$60 a $80,$40 a $60,no tengo actividades extracurriculares,$0,Sí,Más de $80,No,Sí,Mejor.,Neutral.
1,18 a 20 años.,Mérida,Bachiller,Empleado o emprendedor,No aplica,No aplica,"Trabajador independiente (freelance, emprendedor).",Dólares estadounidenses,$160 a $200.,"Alimentación, Transporte",$0,$20 a $40,$20 a $40,No aplica.,$0,Sí,Más de $80,Sí,Sí,Mucho mejor.,Bastante satisfecho.
2,21 a 23 años.,Mérida,Bachiller,Estudiante y empleado.,Pública.,Semestre.,"Sector privado (empresas, organizaciones no gubernamentales, etc).",Bolívares,$80 a $120.,"Vivienda., Alimentación",$40 a 80$,$20 a $40,$0,No aplica.,$0,No,$0,Sí,Sí,Peor.,Nada satisfecho.
3,18 a 20 años.,Miranda,Bachiller,Estudiante.,Pública.,Semestre.,,,,,,,,,,,,,,Mucho mejor.,Neutral.
4,18 a 20 años.,Distrito Capital,Bachiller,Estudiante.,Pública.,Periodos anuales.,,,,,,,,,,,,,,Igual.,Neutral.
5,18 a 20 años.,Distrito Capital,Bachiller,Estudiante.,Pública.,Semestre.,,,,,,,,,,,,,,Mejor.,Poco satisfecho.
6,18 a 20 años.,Distrito Capital,Bachiller,Estudiante y empleado.,Pública.,Semestre.,"Sector privado (empresas, organizaciones no gubernamentales, etc).",Combinación de bolívares y dólares,$240 a $280,"Alimentación, Transporte",$0,$80 a $100,$40 a $60,Idiomas,$0,Sí,Más de $80,Sí,Sí,Mucho mejor.,Neutral.
7,18 a 20 años.,Distrito Capital,Bachiller,Empleado o emprendedor,No aplica,No aplica,"Trabajador independiente (freelance, emprendedor).",Dólares estadounidenses,$80 a $120.,"Vivienda., Alimentación, Transporte",$80 a $120,$80 a $100,$40 a $60,Idiomas,$50 a $70,No,$0,Sí,Sí,Igual.,Nada satisfecho.
8,18 a 20 años.,Distrito Capital,Bachiller,Estudiante y empleado.,Privada.,Semestre.,"Sector privado (empresas, organizaciones no gubernamentales, etc).",Bolívares,$40 a $80.,Alimentación,$0,$20 a $40,$0,Deporte,$10 a $30,Sí,$0 a $10,No,Sí,Mucho mejor.,Bastante satisfecho.
9,18 a 20 años.,Miranda,Bachiller,Estudiante.,Pública.,Trimestre.,,,,,,,,,,,,,,Mejor.,Neutral.
10,21 a 23 años.,Distrito Capital,Bachiller,Estudiante y empleado.,Privada.,Trimestre.,"Sector privado (empresas, organizaciones no gubernamentales, etc).",Combinación de bolívares y dólares,Más de $320,"Alimentación, Transporte",$0,Más de $100,Más de $80,No aplica.,$0,Sí,Más de $80,No,No,Mejor.,Poco satisfecho.
11,18 a 20 años.,Miranda,Bachiller,Estudiante.,Privada.,Trimestre.,,,,,,,,,,,,,,Peor.,Nada satisfecho.
12,21 a 23 años.,Mérida,Bachiller,Estudiante y empleado.,Privada.,Semestre.,"Sector privado (empresas, organizaciones no gubernamentales, etc).",Bolívares,$80 a $120.,"Vivienda., Alimentación, Transporte",$40 a 80$,$40 a $60,$20 a $40,No aplica.,$0,Sí,$0 a $10,No,Sí,Igual.,Satisfecho.
13,27 a 29 años.,Mérida,Bachiller,Estudiante y empleado.,Pública.,Semestre.,"Sector público (gobierno, instituciones públicas).",Bolívares,$160 a $200.,"Vivienda., Alimentación, Transporte",$120 a $160,$60 a $80,$20 a $40,Gimnasio,$10 a $30,Sí,$10 a $20,Sí,Sí,Igual.,Poco satisfecho.
14,21 a 23 años.,Mérida,Bachiller,Estudiante y empleado.,Pública.,Semestre.,"Sector público (gobierno, instituciones públicas).",Bolívares,$240 a $280,"Alimentación, Transporte",$40 a 80$,$20 a $40,$20 a $40,No aplica.,$0,Sí,$50 a $80,Sí,No,Mejor.,Satisfecho.
15,21 a 23 años.,Mérida,Bachiller,Estudiante y empleado.,Pública.,Semestre.,"Trabajador independiente (freelance, emprendedor).",Dólares estadounidenses,Más de $320,Transporte,$0,$0,$20 a $40,No aplica.,$0,Sí,Más de $80,Sí,Sí,Mucho mejor.,Bastante satisfecho.
16,24 a 26 años.,Mérida,Bachiller,Estudiante y empleado.,Pública.,Semestre.,"Sector público (gobierno, instituciones públicas).",Bolívares,$240 a $280,"Alimentación, Transporte",$0,$60 a $80,$20 a $40,Gimnasio,$10 a $30,Sí,$20 a $50,No,Sí,Mejor.,Neutral.
17,24 a 26 años.,Mérida,Bachiller,Estudiante.,Pública.,Semestre.,,,,,,,,,,,,,,Mejor.,Satisfecho.
18,18 a 20 años.,Mérida,Bachiller,Estudiante y empleado.,Pública.,Semestre.,"Sector público (gobierno, instituciones públicas).",Bolívares,$280 a $320,"Vivienda., Alimentación, Transporte",$80 a $120,$60 a $80,$20 a $40,"Gimnasio, Arte",$10 a $30,No,$0,Sí,Sí,Igual.,Poco satisfecho.
19,24 a 26 años.,Mérida,Bachiller,Estudiante y empleado.,Pública.,Semestre.,"Sector público (gobierno, instituciones públicas).",Bolívares,$240 a $280,"Alimentación, Transporte",$0,$60 a $80,$20 a $40,No aplica.,$0,Sí,Más de $80,Sí,Sí,Mejor.,Neutral.
20,24 a 26 años.,Mérida,Bachiller,Estudiante.,Pública.,Semestre.,,,,,,,,,,,,,,Mejor.,Poco satisfecho.
21,21 a 23 años.,Distrito Capital,Bachiller,Estudiante.,Privada.,Trimestre.,,,,,,,,,,,,,,Mejor.,Nada satisfecho.
22,21 a 23 años.,Distrito Capital,Bachiller,Estudiante.,Privada.,Trimestre.,,,,,,,,,,,,,,Mejor.,Neutral.
23,24 a 26 años.,Distrito Capital,Bachiller,Estudiante y empleado.,Pública.,Semestre.,"Sector privado (empresas, organizaciones no gubernamentales, etc).",Combinación de bolívares y dólares,$120 a $160.,"Alimentación, Transporte",$120 a $160,$60 a $80,$20 a $40,"Idiomas, Arte",$30 a $50,Sí,$10 a $20,Sí,Sí,Mejor.,Neutral.
24,18 a 20 años.,Distrito Capital,Bachiller,Estudiante.,Privada.,Trimestre.,,,,,,,,,,,,,,Igual.,Nada satisfecho.
25,18 a 20 años.,Miranda,Bachiller,Estudiante.,Privada.,Trimestre.,,,,,,,,,,,,,,Igual.,Satisfecho.
26,24 a 26 años.,Miranda,Bachiller,Estudiante y empleado.,Pública.,Semestre.,"Sector privado (empresas, organizaciones no gubernamentales, etc).",Combinación de bolívares y dólares,Más de $320,"Alimentación, Transporte",$0,$80 a $100,$40 a $60,No aplica.,$0,Sí,Más de $80,Sí,Sí,Mejor.,Neutral.
